Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,19.139999,20.559999,18.379999,20.480000,20.480000,6296600
2020-09-15,20.590000,21.139999,20.260000,21.120001,21.120001,4332400
2020-09-16,20.660000,20.780001,19.620001,19.920000,19.920000,4053700
2020-09-17,19.010000,19.670000,19.010000,19.240000,19.240000,2888000
2020-09-18,19.440001,19.480000,18.860001,18.900000,18.900000,2789400
2020-09-21,18.270000,18.379999,17.424999,18.150000,18.150000,5191200
2020-09-22,18.500000,19.580000,18.170000,19.309999,19.309999,4131300
2020-09-23,19.420000,19.420000,18.100000,18.410000,18.410000,3273900
2020-09-24,18.000000,18.170000,17.110001,17.450001,17.450001,3995300
2020-09-25,17.809999,18.000000,17.120001,17.930000,17.930000,5330800
2020-09-28,19.020000,19.450001,18.500000,19.059999,19.059999,5507500
2020-09-29,19.059999,19.200001,18.530001,18.780001,18.780001,5833800
2020-09-30,19.940001,20.090000,19.160000,20.070000,20.070000,10406000
2020-10-01,20.150000,20.230000,18.510000,18.670000,18.670000,10024400
2020-10-02,18.000000,18.559999,17.980000,18.190001,18.190001,4525000
2020-10-05,19.580000,20.389999,19.219999,20.040001,20.040001,14572300
2020-10-06,20.440001,20.910000,19.200001,19.700001,19.700001,7054000
2020-10-07,19.980000,20.590000,19.850000,20.160000,20.160000,4938600
2020-10-08,20.510000,20.629999,19.719999,19.860001,19.860001,3516700
2020-10-09,19.750000,20.059999,19.510000,20.000000,20.000000,2932100
2020-10-12,20.450001,20.530001,19.760000,19.879999,19.879999,4898800
2020-10-13,19.700001,19.799999,19.309999,19.639999,19.639999,3824000
2020-10-14,20.309999,22.549999,20.180000,22.049999,22.049999,18302700
2020-10-15,21.930000,22.760000,21.049999,22.160000,22.160000,10449200
2020-10-16,22.980000,23.100000,21.320000,21.770000,21.770000,6251900
2020-10-19,21.820000,21.930000,19.820000,19.840000,19.840000,8204100
2020-10-20,20.214001,20.650000,20.000000,20.139999,20.139999,5993600
2020-10-21,20.200001,20.469999,20.010000,20.420000,20.420000,4159700
2020-10-22,20.770000,20.889999,20.139999,20.820000,20.820000,6382600
2020-10-23,20.900000,20.930000,19.950001,20.049999,20.049999,4465800
2020-10-26,20.059999,20.280001,19.200001,19.620001,19.620001,4263800
2020-10-27,19.620001,20.250000,19.540001,19.900000,19.900000,3603800
2020-10-28,19.670000,19.670000,18.500000,19.020000,19.020000,5551500
2020-10-29,19.190001,20.820000,19.190001,20.719999,20.719999,10753300
2020-10-30,20.410000,21.360001,19.209999,19.379999,19.379999,9323700
2020-11-02,21.469999,22.459999,20.510000,20.719999,20.719999,19916300
2020-11-03,21.400000,22.480000,20.250000,22.209999,22.209999,11308100
2020-11-04,24.040001,27.440001,23.400000,27.389999,27.389999,50724000
2020-11-05,30.260000,36.439999,29.799999,35.849998,35.849998,89538500
2020-11-06,36.320000,39.500000,33.180000,34.810001,34.810001,102189400
2020-11-09,35.430000,36.189999,31.280001,34.070000,34.070000,34809300
2020-11-10,34.389999,36.500000,31.010000,32.900002,32.900002,32340200
2020-11-11,31.260000,33.669998,30.490000,33.529999,33.529999,24899000
2020-11-12,36.480000,48.570000,35.599998,44.730000,44.730000,166146200
2020-11-13,47.959999,51.270000,38.000000,41.990002,41.990002,92071900
2020-11-16,40.529999,45.490002,39.000000,44.099998,44.099998,39098400
2020-11-17,46.279999,47.099998,42.400002,42.910000,42.910000,28768600
2020-11-18,43.290001,43.970001,40.099998,42.180000,42.180000,26428600
2020-11-19,41.720001,48.189999,41.060001,48.110001,48.110001,35122700
2020-11-20,48.660000,56.770000,48.299999,53.889999,53.889999,79526200
2020-11-23,56.750000,73.059998,56.540001,72.169998,72.169998,100012200
2020-11-24,72.169998,74.489998,62.770000,70.629997,70.629997,99907800
2020-11-25,64.650002,67.190002,63.009998,64.269997,64.269997,49197400
2020-11-27,65.290001,68.419998,61.150002,64.279999,64.279999,26582800
2020-11-30,62.759998,62.799999,55.500000,58.759998,58.759998,38926500
2020-12-01,61.790001,63.349998,51.299999,52.360001,52.360001,48817300
2020-12-02,47.009998,57.380001,46.009998,56.000000,56.000000,60694200
2020-12-03,56.959999,57.549999,51.450001,51.820000,51.820000,32475600
2020-12-04,50.340000,52.919998,48.400002,49.340000,49.340000,27406400
2020-12-07,46.070000,51.080002,46.000000,48.299999,48.299999,37935200
2020-12-08,50.049999,51.980000,48.160000,48.689999,48.689999,26377400
2020-12-09,47.040001,47.709999,43.549999,44.650002,44.650002,57540500
2020-12-10,42.939999,45.080002,42.840000,44.799999,44.799999,27260400
2020-12-11,44.180000,46.830002,43.650002,44.310001,44.310001,22730900
2020-12-14,45.930000,48.099998,44.299999,47.169998,47.169998,34420400
2020-12-15,48.599998,51.240002,47.250000,49.490002,49.490002,35698900
2020-12-16,50.540001,51.070000,46.750000,47.400002,47.400002,22522900
2020-12-17,47.009998,47.889999,45.220001,46.380001,46.380001,20787400
2020-12-18,46.060001,48.790001,44.610001,46.380001,46.380001,24368900
2020-12-21,45.110001,47.880001,45.020000,46.970001,46.970001,18790900
2020-12-22,47.419998,47.490002,43.750000,45.049999,45.049999,19407600
2020-12-23,44.770000,44.959999,43.080002,43.799999,43.799999,13495200
2020-12-24,43.040001,44.200001,41.639999,41.869999,41.869999,15453300
2020-12-28,41.790001,41.860001,37.500000,38.009998,38.009998,30945500
2020-12-29,38.750000,41.818001,37.599998,41.549999,41.549999,24437000
2020-12-30,42.830002,43.240002,41.164001,42.290001,42.290001,20341500
2020-12-31,42.779999,44.660000,41.950001,42.830002,42.830002,21960200
2021-01-04,45.599998,47.689999,43.480000,44.099998,44.099998,39630300
2021-01-05,44.130001,44.990002,41.619999,42.340000,42.340000,22844800
2021-01-06,41.570000,43.970001,40.599998,41.230000,41.230000,23483800
2021-01-07,42.400002,45.490002,42.070000,44.990002,44.990002,19662000
2021-01-08,47.919998,47.950001,44.020000,45.450001,45.450001,22085400
2021-01-11,46.310001,47.240002,43.599998,44.360001,44.360001,21540000
2021-01-12,45.549999,54.750000,45.360001,54.299999,54.299999,57411100
2021-01-13,53.700001,54.759998,50.340000,51.660000,51.660000,28490600
2021-01-14,52.000000,52.040001,49.509998,50.310001,50.310001,17764400
2021-01-15,49.330002,49.669998,46.660000,47.820000,47.820000,19804600
2021-01-19,49.970001,54.740002,49.849998,53.840000,53.840000,35241600
2021-01-20,55.970001,58.369999,50.810001,52.459999,52.459999,32728400
2021-01-21,53.299999,55.680000,50.529999,54.310001,54.310001,21380100
2021-01-22,54.580002,57.580002,54.200001,56.389999,56.389999,22148300
2021-01-25,58.470001,60.040001,51.660000,54.650002,54.650002,23297900
2021-01-26,54.750000,56.380001,52.869999,54.000000,54.000000,12374800
2021-01-27,51.950001,53.060001,49.400002,49.959999,49.959999,17383200
2021-01-28,49.720001,51.259998,47.759998,50.160000,50.160000,14453400
2021-01-29,50.009998,51.000000,47.049999,48.180000,48.180000,13688000
2021-02-01,51.110001,51.340000,47.630001,49.270000,49.270000,15679300
2021-02-02,50.130001,50.130001,46.029999,47.009998,47.009998,18144000
2021-02-03,46.990002,47.990002,45.860001,47.520000,47.520000,13241500
2021-02-04,47.950001,48.349998,46.939999,48.130001,48.130001,9469600
2021-02-05,48.450001,48.500000,46.459999,46.930000,46.930000,10165200
2021-02-08,46.500000,48.349998,45.599998,47.610001,47.610001,14494400
2021-02-09,47.560001,49.169998,46.080002,48.750000,48.750000,23543800
2021-02-10,48.720001,51.189999,47.119999,47.770000,47.770000,20108400
2021-02-11,48.110001,48.830002,46.299999,47.130001,47.130001,11042500
2021-02-12,46.900002,47.209999,45.880001,46.889999,46.889999,8116300
2021-02-16,47.029999,47.349998,44.430000,45.009998,45.009998,14971700
2021-02-17,44.230000,44.369999,41.910000,43.410000,43.410000,15330800
2021-02-18,41.950001,42.070000,39.880001,41.150002,41.150002,16922000
2021-02-19,42.459999,42.580002,40.660000,40.880001,40.880001,14145000
2021-02-22,39.740002,40.470001,37.799999,38.000000,38.000000,22724800
2021-02-23,36.400002,38.040001,32.720001,37.910000,37.910000,35934000
2021-02-24,37.830002,39.080002,35.750000,38.709999,38.709999,17572200
2021-02-25,38.000000,38.009998,34.750000,35.400002,35.400002,22154900
2021-02-26,34.980000,35.820000,33.000000,34.110001,34.110001,20753900
2021-03-01,35.009998,35.820000,34.730000,35.500000,35.500000,14209400
2021-03-02,33.540001,33.770000,31.379999,31.500000,31.500000,28529600
2021-03-03,32.490002,32.660000,29.790001,30.030001,30.030001,22459700
2021-03-04,29.870001,31.379999,27.340000,29.360001,29.360001,38048000
2021-03-05,29.219999,29.900000,25.270000,28.030001,28.030001,40583000
2021-03-08,29.440001,30.650000,26.900000,26.920000,26.920000,40913000
2021-03-09,29.490000,31.658001,28.139999,29.969999,29.969999,42181700
2021-03-10,32.049999,32.467999,30.120001,30.700001,30.700001,29911600
2021-03-11,32.689999,35.000000,32.169998,34.810001,34.810001,31846600
2021-03-12,32.970001,35.270000,32.779999,35.150002,35.150002,25125300
2021-03-15,36.090000,36.340000,34.549999,35.369999,35.369999,19605900
2021-03-16,35.740002,37.389999,34.820000,35.930000,35.930000,19094200
2021-03-17,34.500000,36.618999,33.580002,36.119999,36.119999,16316200
2021-03-18,35.130001,36.799999,34.910000,35.000000,35.000000,14909700
2021-03-19,34.930000,37.700001,34.650002,37.480000,37.480000,26259800
2021-03-22,38.060001,38.389999,36.770000,37.880001,37.880001,15161400
2021-03-23,36.990002,37.660000,36.270000,36.330002,36.330002,11786400
2021-03-24,36.240002,36.240002,30.719999,30.850000,30.850000,31313300
